"wp_order_id","order_status","coupon_codes","discount_amount","order_total"
"747355","wc-cancelled","Hailaqfeel!","36","154.80"
"747344","wc-cancelled","Hailaqfeel!","36","154.80"
"747012","wc-completed","Qfeel20purcelusi","32","137.70"
"746966","wc-completed","Qfeel20purcelusi","30","129.00"
"746909","wc-cancelled","Blackfriday40","39.6","64.35"
"746857","wc-completed","Qfeel20FB","36","154.80"
"746849","wc-failed","Qfeel20FB","36","154.80"
"746728","wc-cancelled","Qfeel20fb","24","103.50"
"746675","wc-completed","Qfeel20purcelusi","30","129.00"
"746649","wc-cancelled","Qfeel20purcelusi","24","103.20"
"746634","wc-cancelled","Qfeel20purcelusi","20","86.00"
"746318","wc-completed","Qfeel20GF","40","172.00"
"745779","wc-processing","Vla100hopol","240","0.00"
"745402","wc-completed","Qfeel20Purcelusi","30","129.00"
"745371","wc-cancelled","Qfeel20Purcelusi","24","103.50"
"745307","wc-completed","Qfeel20purcelusi","24","103.20"
"744976","wc-completed","Qfeel20GF","48","206.40"
"744772","wc-completed","Qfeel20purcelusi","20","86.00"
"744749","wc-processing","Vla100hopol","120","0.00"
"744153","wc-completed","Qfeel20purcelusi","36","154.80"
"743411","wc-completed","Qfeel20GF","24","103.20"
"743359","wc-completed","Qfeel20purcelusi","20","86.00"
"743344","wc-completed","Qfeel20purcelusi","24","103.20"
"743052","wc-processing","Vla100hopol","240","0.00"
"742161","wc-completed","Qfeel20ecotron","16","69.00"
"742130","wc-completed","Qfeel20GF","36","154.80"
"742087","wc-completed","QFEEL20ECOTRON","36","154.80"
"742075","wc-completed","Qfeel20Ecotron","50","215.00"
"742057","wc-completed","Qfeel20ecotron","30","129.00"
"742010","wc-cancelled","Qfeel20GF","30","129.00"
"741940","wc-completed","Qfeel20GF","84","361.20"
"741931","wc-completed","Qfeel20GF","36","154.80"
"741912","wc-completed","Qfeel20GF","48","206.40"
"741867","wc-completed","Qfeel20GF","48","206.40"
"741860","wc-cancelled","Qfeel20GF","48","206.40"
"741835","wc-completed","QFEEL20ECOTRON","40","172.00"
"741815","wc-completed","Qfeel20Ecotron","24","103.50"
"741583","wc-completed","Ecotron50","90","100.80"
"741468","wc-completed","Qfeel20Ecotron","24","103.20"
"741431","wc-completed","Qfeel20Ecotron","16","69.00"
"741401","wc-completed","Qfeel20ecotron","20","86.00"
"741339","wc-completed","Qfeel20Ecotron","16","69.00"
"741318","wc-completed","Qfeel20Ecotron","40","172.00"
